Column Name,Data Type,Description
Nation,object,Auto-generated column for Nation
Region,object,Auto-generated column for Region
Division,object,Auto-generated column for Division
State,object,Auto-generated column for State
CBSA,object,Auto-generated column for CBSA
County,object,Auto-generated column for County
NAICS2,float64,Auto-generated column for NAICS2
Industry_Sector,object,Auto-generated column for Industry_Sector
NAICS3,float64,Auto-generated column for NAICS3
NAICS3_Name,object,Auto-generated column for NAICS3_Name
Establishments,int64,Auto-generated column for Establishments
Total_Employees,int64,Auto-generated column for Total_Employees
WHT10,float64,Auto-generated column for WHT10
BLKT10,float64,Auto-generated column for BLKT10
HISPT10,float64,Auto-generated column for HISPT10
ASIANT10,float64,Auto-generated column for ASIANT10
AIANT10,object,Auto-generated column for AIANT10
nhopiT10,object,Auto-generated column for nhopiT10
tomrT10,object,Auto-generated column for tomrT10
MT10,object,Auto-generated column for MT10
FT10,object,Auto-generated column for FT10
TOTAL1,object,Auto-generated column for TOTAL1
TOTAL2,object,Auto-generated column for TOTAL2
TOTAL3,object,Auto-generated column for TOTAL3
TOTAL4,object,Auto-generated column for TOTAL4
TOTAL5,object,Auto-generated column for TOTAL5
TOTAL6,object,Auto-generated column for TOTAL6
TOTAL7,object,Auto-generated column for TOTAL7
TOTAL8,object,Auto-generated column for TOTAL8
TOTAL9,object,Auto-generated column for TOTAL9
TOTAL1_2,object,Auto-generated column for TOTAL1_2
WHM10,object,Auto-generated column for WHM10
BLKM10,object,Auto-generated column for BLKM10
HISPM10,object,Auto-generated column for HISPM10
ASIANM10,object,Auto-generated column for ASIANM10
AIANM10,object,Auto-generated column for AIANM10
NHOPIM10,object,Auto-generated column for NHOPIM10
TOMRM10,object,Auto-generated column for TOMRM10
WHF10,object,Auto-generated column for WHF10
BLKF10,object,Auto-generated column for BLKF10
HISPF10,object,Auto-generated column for HISPF10
ASIANF10,object,Auto-generated column for ASIANF10
AIANF10,object,Auto-generated column for AIANF10
NHOPIF10,object,Auto-generated column for NHOPIF10
TOMRF10,object,Auto-generated column for TOMRF10
WHT1,object,Auto-generated column for WHT1
WHT2,object,Auto-generated column for WHT2
WHT3,object,Auto-generated column for WHT3
WHT4,object,Auto-generated column for WHT4
WHT5,object,Auto-generated column for WHT5
WHT6,object,Auto-generated column for WHT6
WHT7,object,Auto-generated column for WHT7
WHT8,object,Auto-generated column for WHT8
WHT9,object,Auto-generated column for WHT9
WHT1_2,object,Auto-generated column for WHT1_2
BLKT1,object,Auto-generated column for BLKT1
BLKT2,object,Auto-generated column for BLKT2
BLKT3,object,Auto-generated column for BLKT3
BLKT4,object,Auto-generated column for BLKT4
BLKT5,object,Auto-generated column for BLKT5
BLKT6,object,Auto-generated column for BLKT6
BLKT7,object,Auto-generated column for BLKT7
BLKT8,object,Auto-generated column for BLKT8
BLKT9,object,Auto-generated column for BLKT9
BLKT1_2,object,Auto-generated column for BLKT1_2
HISPT1,object,Auto-generated column for HISPT1
HISPT2,object,Auto-generated column for HISPT2
HISPT3,object,Auto-generated column for HISPT3
HISPT4,object,Auto-generated column for HISPT4
HISPT5,object,Auto-generated column for HISPT5
HISPT6,object,Auto-generated column for HISPT6
HISPT7,object,Auto-generated column for HISPT7
HISPT8,object,Auto-generated column for HISPT8
HISPT9,object,Auto-generated column for HISPT9
HISPT1_2,object,Auto-generated column for HISPT1_2
ASIANT1,object,Auto-generated column for ASIANT1
ASIANT2,object,Auto-generated column for ASIANT2
ASIANT3,object,Auto-generated column for ASIANT3
ASIANT4,object,Auto-generated column for ASIANT4
ASIANT5,object,Auto-generated column for ASIANT5
ASIANT6,object,Auto-generated column for ASIANT6
ASIANT7,object,Auto-generated column for ASIANT7
ASIANT8,object,Auto-generated column for ASIANT8
ASIANT9,object,Auto-generated column for ASIANT9
ASIANT1_2,object,Auto-generated column for ASIANT1_2
AIANT1,object,Auto-generated column for AIANT1
AIANT2,object,Auto-generated column for AIANT2
AIANT3,object,Auto-generated column for AIANT3
AIANT4,object,Auto-generated column for AIANT4
AIANT5,object,Auto-generated column for AIANT5
AIANT6,object,Auto-generated column for AIANT6
AIANT7,object,Auto-generated column for AIANT7
AIANT8,object,Auto-generated column for AIANT8
AIANT9,object,Auto-generated column for AIANT9
AIANT1_2,object,Auto-generated column for AIANT1_2
nhopiT1,object,Auto-generated column for nhopiT1
nhopiT2,object,Auto-generated column for nhopiT2
nhopiT3,object,Auto-generated column for nhopiT3
nhopiT4,object,Auto-generated column for nhopiT4
nhopiT5,object,Auto-generated column for nhopiT5
nhopiT6,object,Auto-generated column for nhopiT6
nhopiT7,object,Auto-generated column for nhopiT7
nhopiT8,object,Auto-generated column for nhopiT8
nhopiT9,object,Auto-generated column for nhopiT9
nhopiT1_2,object,Auto-generated column for nhopiT1_2
tomrT1,object,Auto-generated column for tomrT1
tomrT2,object,Auto-generated column for tomrT2
tomrT3,object,Auto-generated column for tomrT3
tomrT4,object,Auto-generated column for tomrT4
tomrT5,object,Auto-generated column for tomrT5
tomrT6,object,Auto-generated column for tomrT6
tomrT7,object,Auto-generated column for tomrT7
tomrT8,object,Auto-generated column for tomrT8
tomrT9,object,Auto-generated column for tomrT9
tomrT1_2,object,Auto-generated column for tomrT1_2
MT1,object,Auto-generated column for MT1
MT2,object,Auto-generated column for MT2
MT3,object,Auto-generated column for MT3
MT4,object,Auto-generated column for MT4
MT5,object,Auto-generated column for MT5
MT6,object,Auto-generated column for MT6
MT7,object,Auto-generated column for MT7
MT8,object,Auto-generated column for MT8
MT9,object,Auto-generated column for MT9
MT1_2,object,Auto-generated column for MT1_2
FT1,object,Auto-generated column for FT1
FT2,object,Auto-generated column for FT2
FT3,object,Auto-generated column for FT3
FT4,object,Auto-generated column for FT4
FT5,object,Auto-generated column for FT5
FT6,object,Auto-generated column for FT6
FT7,object,Auto-generated column for FT7
FT8,object,Auto-generated column for FT8
FT9,object,Auto-generated column for FT9
FT1_2,object,Auto-generated column for FT1_2
WHM1,object,Auto-generated column for WHM1
BLKM1,object,Auto-generated column for BLKM1
HISPM1,object,Auto-generated column for HISPM1
ASIANM1,object,Auto-generated column for ASIANM1
AIANM1,object,Auto-generated column for AIANM1
NHOPIM1,object,Auto-generated column for NHOPIM1
TOMRM1,object,Auto-generated column for TOMRM1
WHF1,object,Auto-generated column for WHF1
BLKF1,object,Auto-generated column for BLKF1
HISPF1,object,Auto-generated column for HISPF1
ASIANF1,object,Auto-generated column for ASIANF1
AIANF1,object,Auto-generated column for AIANF1
NHOPIF1,object,Auto-generated column for NHOPIF1
TOMRF1,object,Auto-generated column for TOMRF1
WHM2,object,Auto-generated column for WHM2
BLKM2,object,Auto-generated column for BLKM2
HISPM2,object,Auto-generated column for HISPM2
ASIANM2,object,Auto-generated column for ASIANM2
AIANM2,object,Auto-generated column for AIANM2
NHOPIM2,object,Auto-generated column for NHOPIM2
TOMRM2,object,Auto-generated column for TOMRM2
WHF2,object,Auto-generated column for WHF2
BLKF2,object,Auto-generated column for BLKF2
HISPF2,object,Auto-generated column for HISPF2
ASIANF2,object,Auto-generated column for ASIANF2
AIANF2,object,Auto-generated column for AIANF2
NHOPIF2,object,Auto-generated column for NHOPIF2
TOMRF2,object,Auto-generated column for TOMRF2
WHM3,object,Auto-generated column for WHM3
BLKM3,object,Auto-generated column for BLKM3
HISPM3,object,Auto-generated column for HISPM3
ASIANM3,object,Auto-generated column for ASIANM3
AIANM3,object,Auto-generated column for AIANM3
NHOPIM3,object,Auto-generated column for NHOPIM3
TOMRM3,object,Auto-generated column for TOMRM3
WHF3,object,Auto-generated column for WHF3
BLKF3,object,Auto-generated column for BLKF3
HISPF3,object,Auto-generated column for HISPF3
ASIANF3,object,Auto-generated column for ASIANF3
AIANF3,object,Auto-generated column for AIANF3
NHOPIF3,object,Auto-generated column for NHOPIF3
TOMRF3,object,Auto-generated column for TOMRF3
WHM4,object,Auto-generated column for WHM4
BLKM4,object,Auto-generated column for BLKM4
HISPM4,object,Auto-generated column for HISPM4
ASIANM4,object,Auto-generated column for ASIANM4
AIANM4,object,Auto-generated column for AIANM4
NHOPIM4,object,Auto-generated column for NHOPIM4
TOMRM4,object,Auto-generated column for TOMRM4
WHF4,object,Auto-generated column for WHF4
BLKF4,object,Auto-generated column for BLKF4
HISPF4,object,Auto-generated column for HISPF4
ASIANF4,object,Auto-generated column for ASIANF4
AIANF4,object,Auto-generated column for AIANF4
NHOPIF4,object,Auto-generated column for NHOPIF4
TOMRF4,object,Auto-generated column for TOMRF4
WHM5,object,Auto-generated column for WHM5
BLKM5,object,Auto-generated column for BLKM5
HISPM5,object,Auto-generated column for HISPM5
ASIANM5,object,Auto-generated column for ASIANM5
AIANM5,object,Auto-generated column for AIANM5
NHOPIM5,object,Auto-generated column for NHOPIM5
TOMRM5,object,Auto-generated column for TOMRM5
WHF5,object,Auto-generated column for WHF5
BLKF5,object,Auto-generated column for BLKF5
HISPF5,object,Auto-generated column for HISPF5
ASIANF5,object,Auto-generated column for ASIANF5
AIANF5,object,Auto-generated column for AIANF5
NHOPIF5,object,Auto-generated column for NHOPIF5
TOMRF5,object,Auto-generated column for TOMRF5
WHM6,object,Auto-generated column for WHM6
BLKM6,object,Auto-generated column for BLKM6
HISPM6,object,Auto-generated column for HISPM6
ASIANM6,object,Auto-generated column for ASIANM6
AIANM6,object,Auto-generated column for AIANM6
NHOPIM6,object,Auto-generated column for NHOPIM6
TOMRM6,object,Auto-generated column for TOMRM6
WHF6,object,Auto-generated column for WHF6
BLKF6,object,Auto-generated column for BLKF6
HISPF6,object,Auto-generated column for HISPF6
ASIANF6,object,Auto-generated column for ASIANF6
AIANF6,object,Auto-generated column for AIANF6
NHOPIF6,object,Auto-generated column for NHOPIF6
TOMRF6,object,Auto-generated column for TOMRF6
WHM7,object,Auto-generated column for WHM7
BLKM7,object,Auto-generated column for BLKM7
HISPM7,object,Auto-generated column for HISPM7
ASIANM7,object,Auto-generated column for ASIANM7
AIANM7,object,Auto-generated column for AIANM7
NHOPIM7,object,Auto-generated column for NHOPIM7
TOMRM7,object,Auto-generated column for TOMRM7
WHF7,object,Auto-generated column for WHF7
BLKF7,object,Auto-generated column for BLKF7
HISPF7,object,Auto-generated column for HISPF7
ASIANF7,object,Auto-generated column for ASIANF7
AIANF7,object,Auto-generated column for AIANF7
NHOPIF7,object,Auto-generated column for NHOPIF7
TOMRF7,object,Auto-generated column for TOMRF7
WHM8,object,Auto-generated column for WHM8
BLKM8,object,Auto-generated column for BLKM8
HISPM8,object,Auto-generated column for HISPM8
ASIANM8,object,Auto-generated column for ASIANM8
AIANM8,object,Auto-generated column for AIANM8
NHOPIM8,object,Auto-generated column for NHOPIM8
TOMRM8,object,Auto-generated column for TOMRM8
WHF8,object,Auto-generated column for WHF8
BLKF8,object,Auto-generated column for BLKF8
HISPF8,object,Auto-generated column for HISPF8
ASIANF8,object,Auto-generated column for ASIANF8
AIANF8,object,Auto-generated column for AIANF8
NHOPIF8,object,Auto-generated column for NHOPIF8
TOMRF8,object,Auto-generated column for TOMRF8
WHM9,object,Auto-generated column for WHM9
BLKM9,object,Auto-generated column for BLKM9
HISPM9,object,Auto-generated column for HISPM9
ASIANM9,object,Auto-generated column for ASIANM9
AIANM9,object,Auto-generated column for AIANM9
NHOPIM9,object,Auto-generated column for NHOPIM9
TOMRM9,object,Auto-generated column for TOMRM9
WHF9,object,Auto-generated column for WHF9
BLKF9,object,Auto-generated column for BLKF9
HISPF9,object,Auto-generated column for HISPF9
ASIANF9,object,Auto-generated column for ASIANF9
AIANF9,object,Auto-generated column for AIANF9
NHOPIF9,object,Auto-generated column for NHOPIF9
TOMRF9,object,Auto-generated column for TOMRF9
WHM1_2,object,Auto-generated column for WHM1_2
BLKM1_2,object,Auto-generated column for BLKM1_2
HISPM1_2,object,Auto-generated column for HISPM1_2
ASIANM1_2,object,Auto-generated column for ASIANM1_2
AIANM1_2,object,Auto-generated column for AIANM1_2
NHOPIM1_2,object,Auto-generated column for NHOPIM1_2
TOMRM1_2,object,Auto-generated column for TOMRM1_2
WHF1_2,object,Auto-generated column for WHF1_2
BLKF1_2,object,Auto-generated column for BLKF1_2
HISPF1_2,object,Auto-generated column for HISPF1_2
ASIANF1_2,object,Auto-generated column for ASIANF1_2
AIANF1_2,object,Auto-generated column for AIANF1_2
NHOPIF1_2,object,Auto-generated column for NHOPIF1_2
TOMRF1_2,object,Auto-generated column for TOMRF1_2
Pct_White,float64,Percentage of White employees (WHT10 / Total_Employees * 100)
Pct_Black,float64,Percentage of Black employees (BLKT10 / Total_Employees * 100)
Pct_Hispanic,float64,Percentage of Hispanic employees (HISPT10 / Total_Employees * 100)
Pct_Asian,float64,Percentage of Asian employees (ASIANT10 / Total_Employees * 100)
Pct_Minority,float64,Auto-generated column for Pct_Minority
Diversity_Index,float64,Auto-generated column for Diversity_Index
Cluster,int32,KMeans cluster assignment based on demographic percentages
